county,state_name,Location,lat,lng,population
Porter,Indiana,"Porter, Indiana",41.4605,-87.0673,168636
Kenosha,Wisconsin,"Kenosha, Wisconsin",42.5769,-88.0424,168524
Aiken,South Carolina,"Aiken, South Carolina",33.5443,-81.6347,168301
Midland,Texas,"Midland, Texas",31.8691,-102.0316,168167
Monroe,Pennsylvania,"Monroe, Pennsylvania",41.0581,-75.3395,168032
Carroll,Maryland,"Carroll, Maryland",39.5629,-77.0225,167699
Johnson,Texas,"Johnson, Texas",32.379,-97.3663,167212
Greene,Ohio,"Greene, Ohio",39.6915,-83.8899,166502
Pueblo,Colorado,"Pueblo, Colorado",38.1735,-104.5128,165982
Maui,Hawaii,"Maui, Hawaii",20.8596,-156.5648,165979
Beaver,Pennsylvania,"Beaver, Pennsylvania",40.6823,-80.3493,165833
Washington,Utah,"Washington, Utah",37.2804,-113.5048,165811
